Symbol,Date,Open,High,Low,Close,Volume
KSE-ALL,10-Apr-2020,22570.00,22765.07,22273.02,22695.46,126904527
KSE-ALL,13-Apr-2020,22697.03,22697.03,22044.32,22108.25,153590982
KSE-ALL,14-Apr-2020,22113.02,22278.68,22036.26,22198.86,130187563
KSE-ALL,15-Apr-2020,22266.40,22464.02,22117.74,22188.27,185451370
KSE-ALL,16-Apr-2020,22208.99,22422.01,22064.34,22398.18,118916323
KSE-ALL,17-Apr-2020,22449.84,23522.48,22436.62,23259.22,302309580
KSE-ALL,20-Apr-2020,23336.05,23777.15,23277.72,23465.13,399530915
KSE-ALL,21-Apr-2020,23465.13,23465.13,22790.66,22881.87,338661639
KSE-ALL,22-Apr-2020,22737.29,22949.10,22590.48,22886.89,239737643
KSE-ALL,23-Apr-2020,23103.55,23250.66,22906.56,23211.98,204348752
KSE-ALL,24-Apr-2020,23283.46,23336.60,23055.76,23119.30,120563701
KSE-ALL,27-Apr-2020,23014.94,23030.49,22720.24,22853.30,122276110
KSE-ALL,28-Apr-2020,22827.36,23046.41,22826.41,22977.71,159402248
KSE-ALL,29-Apr-2020,23112.54,23371.31,23112.54,23363.03,140446394
KSE-ALL,30-Apr-2020,23580.33,23960.56,23566.08,23937.61,291985795
KSE-ALL,04-May-2020,23915.03,24045.18,23752.47,23920.30,216564680
KSE-ALL,05-May-2020,24140.75,24236.70,23972.23,24028.11,261320321
KSE-ALL,06-May-2020,24123.67,24136.08,23895.10,23943.72,208958580
KSE-ALL,07-May-2020,23884.48,23979.43,23602.38,23650.99,175994570
KSE-ALL,08-May-2020,23722.32,23769.70,23568.34,23682.18,88007739
KSE-ALL,11-May-2020,23711.37,23720.11,23606.50,23666.61,198244273
KSE-ALL,12-May-2020,23741.97,23872.45,23700.94,23831.96,224533623
KSE-ALL,13-May-2020,23915.17,23961.83,23854.67,23884.77,219198127
KSE-ALL,14-May-2020,23984.37,24047.54,23887.31,24019.98,240207647
KSE-ALL,15-May-2020,24092.52,24261.44,24092.52,24208.02,213269078
KSE-ALL,18-May-2020,24440.34,24541.35,24215.51,24245.47,261946559
KSE-ALL,19-May-2020,24343.45,24625.71,24343.45,24477.51,247778139
KSE-ALL,20-May-2020,24520.55,24523.21,24248.27,24370.17,165092785
KSE-ALL,21-May-2020,24415.52,24506.79,24320.42,24380.74,147211815
KSE-ALL,28-May-2020,24359.95,24363.79,24237.27,24306.80,194741395
KSE-ALL,29-May-2020,24357.28,24544.87,24347.01,24435.18,233019920
KSE-ALL,01-Jun-2020,24512.75,24524.43,24401.98,24466.26,198092426
KSE-ALL,02-Jun-2020,24510.35,24711.55,24490.45,24668.28,221035941
